Datum,WoTag,Woche,lfdTag,JulTag,SAofficial,SUofficial,MondTag,MondProzent,Mondphase,MA,MU,Text
8.9.2017,Freitag,36,251,2458005,06:55,20:01,17,83,,21:17,09:10,
9.9.2017,Samstag,36,252,2458006,06:56,19:59,18,76,,21:44,10:24,
10.9.2017,Sonntag,36,253,2458007,06:58,19:57,19,69,,22:14,11:39,Pützchens Markt 
11.9.2017,Montag,37,254,2458008,06:59,19:55,20,62,,22:49,12:54,
12.9.2017,Dienstag,37,255,2458009,07:01,19:53,21,55,,23:30,14:07,
13.9.2017,Mittwoch,37,256,2458010,07:02,19:50,22,48,,00:19,15:16,
14.9.2017,Donnerstag,37,257,2458011,07:04,19:48,23,41,,01:17,16:18,
15.9.2017,Freitag,37,258,2458012,07:05,19:46,24,34,,02:00,17:11,
16.9.2017,Samstag,37,259,2458013,07:07,19:44,25,28,,02:22,17:56,
17.9.2017,Sonntag,37,260,2458014,07:08,19:41,26,21,,03:33,18:34,
18.9.2017,Montag,38,261,2458015,07:10,19:39,27,14,,04:45,19:06,
19.9.2017,Dienstag,38,262,2458016,07:12,19:37,28,7,,05:59,19:34,
20.9.2017,Mittwoch,38,263,2458017,07:13,19:34,29,0,,07:11,19:59,
21.9.2017,Donnerstag,38,264,2458018,07:15,19:32,0,0,Neumond,08:22,20:23,
22.9.2017,Freitag,38,265,2458019,07:16,19:30,1,7,,09:31,20:48,Herbstanfang 
23.9.2017,Samstag,38,266,2458020,07:18,19:28,2,14,,10:38,21:14,
24.9.2017,Sonntag,38,267,2458021,07:19,19:25,3,21,,11:43,21:42,
25.9.2017,Montag,39,268,2458022,07:21,19:23,4,28,,12:45,22:13,
26.9.2017,Dienstag,39,269,2458023,07:22,19:21,5,34,,13:44,22:49,
27.9.2017,Mittwoch,39,270,2458024,07:24,19:19,6,41,,14:39,23:32,
28.9.2017,Donnerstag,39,271,2458025,07:26,19:16,7,48,,15:30,00:19,
29.9.2017,Freitag,39,272,2458026,07:27,19:14,8,55,,16:14,01:14,
30.9.2017,Samstag,39,273,2458027,07:29,19:12,9,62,,16:53,02:00,
1.10.2017,Sonntag,39,274,2458028,07:30,19:10,11,76,,17:27,02:13,Erntedankfest 
2.10.2017,Montag,40,275,2458029,07:32,19:08,12,83,,17:58,03:18,
3.10.2017,Dienstag,40,276,2458030,07:34,19:05,13,90,,18:25,04:26,Tag der Einheit 
4.10.2017,Mittwoch,40,277,2458031,07:35,19:03,14,100,,18:59,05:37,
5.10.2017,Donnerstag,40,278,2458032,07:37,19:01,15,100,Vollmond,19:18,06:50,
6.10.2017,Freitag,40,279,2458033,07:38,18:59,16,90,,19:45,08:06,
7.10.2017,Samstag,40,280,2458034,07:40,18:57,17,83,,20:14,09:23,
8.10.2017,Sonntag,40,281,2458035,07:42,18:54,18,76,,20:48,10:40,
9.10.2017,Montag,41,282,2458036,07:43,18:52,19,69,,21:28,11:57,
10.10.2017,Dienstag,41,283,2458037,07:45,18:50,20,62,,22:15,13:09,
11.10.2017,Mittwoch,41,284,2458038,07:46,18:48,21,55,,23:10,14:14,
12.10.2017,Donnerstag,41,285,2458039,07:48,18:46,22,48,,00:13,15:10,
13.10.2017,Freitag,41,286,2458040,07:50,18:44,23,41,,01:22,15:57,
14.10.2017,Samstag,41,287,2458041,07:51,18:41,24,34,,02:00,16:36,
15.10.2017,Sonntag,41,288,2458042,07:53,18:39,25,28,,02:33,17:09,
16.10.2017,Montag,42,289,2458043,07:55,18:37,26,21,,03:45,17:37,
17.10.2017,Dienstag,42,290,2458044,07:56,18:35,27,14,,04:56,18:02,
18.10.2017,Mittwoch,42,291,2458045,07:58,18:33,28,7,,06:06,18:26,
19.10.2017,Donnerstag,42,292,2458046,08:00,18:31,29,0,,07:16,18:50,
20.10.2017,Freitag,42,293,2458047,08:01,18:29,0,0,Neumond,08:23,19:15,
21.10.2017,Samstag,42,294,2458048,08:03,18:27,1,7,,09:29,19:42,
22.10.2017,Sonntag,42,295,2458049,08:05,18:25,2,14,,10:33,20:11,
23.10.2017,Montag,43,296,2458050,08:06,18:23,3,21,,11:34,20:45,
24.10.2017,Dienstag,43,297,2458051,08:08,18:21,4,28,,12:31,21:25,
25.10.2017,Mittwoch,43,298,2458052,08:10,18:19,5,34,,13:24,22:10,
26.10.2017,Donnerstag,43,299,2458053,08:11,18:17,6,41,,14:10,23:01,
27.10.2017,Freitag,43,300,2458054,08:13,18:15,7,48,,14:51,23:58,
28.10.2017,Samstag,43,301,2458055,08:15,18:14,8,55,,15:27,01:00,
29.10.2017,Sonntag,43,302,2458056,07:16,17:12,9,62,,14:58,02:00,Ende MESZ 
30.10.2017,Montag,44,303,2458057,07:18,17:10,10,69,,15:25,01:05,
31.10.2017,Dienstag,44,304,2458058,07:20,17:08,11,76,,15:52,02:14,Halloween Reformationstag Reformationstag 
1.11.2017,Mittwoch,44,305,2458059,07:22,17:06,12,83,,16:18,03:52,Allerheiligen 
2.11.2017,Donnerstag,44,306,2458060,07:23,17:05,13,90,,16:44,04:40,Allerseelen 
3.11.2017,Freitag,44,307,2458061,07:25,17:03,14,100,,17:11,05:57,
4.11.2017,Samstag,44,308,2458062,07:27,17:01,15,100,Vollmond,17:43,07:16,
